date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-03-29,Curacao,North America,CUW,19609.0,15406.0,4203.0,,11.95,9.39,2.56
2021-03-30,Curacao,North America,CUW,20485.0,15755.0,4730.0,876.0,12.48,9.6,2.88
2021-03-31,Curacao,North America,CUW,,,,,,,
2021-04-01,Curacao,North America,CUW,22339.0,16498.0,5841.0,,13.61,10.05,3.56
2021-04-02,Curacao,North America,CUW,,,,,,,
2021-04-03,Curacao,North America,CUW,,,,,,,
2021-04-04,Curacao,North America,CUW,,,,,,,
2021-04-05,Curacao,North America,CUW,28137.0,20457.0,7680.0,,17.15,12.47,4.68
2021-04-06,Curacao,North America,CUW,30206.0,22031.0,8175.0,2069.0,18.41,13.43,4.98
2021-04-07,Curacao,North America,CUW,32330.0,23497.0,8833.0,2124.0,19.7,14.32,5.38
2021-04-08,Curacao,North America,CUW,34130.0,24613.0,9517.0,1800.0,20.8,15.0,5.8
2021-04-09,Curacao,North America,CUW,36866.0,26645.0,10221.0,2736.0,22.47,16.24,6.23
2021-04-10,Curacao,North America,CUW,40648.0,29990.0,10658.0,3782.0,24.77,18.28,6.49
2021-04-11,Curacao,North America,CUW,,,,,,,
2021-04-12,Curacao,North America,CUW,,,,,,,
2021-04-13,Curacao,North America,CUW,49926.0,37940.0,11986.0,,30.42,23.12,7.3
2021-04-14,Curacao,North America,CUW,53519.0,41117.0,12402.0,3593.0,32.61,25.06,7.56
2021-04-15,Curacao,North America,CUW,58175.0,45386.0,12789.0,4656.0,35.45,27.66,7.79
2021-04-16,Curacao,North America,CUW,61031.0,47915.0,13116.0,2856.0,37.19,29.2,7.99
2021-04-17,Curacao,North America,CUW,64447.0,50876.0,13571.0,3416.0,39.27,31.0,8.27
2021-04-18,Curacao,North America,CUW,,,,,,,
2021-04-19,Curacao,North America,CUW,68760.0,55151.0,13609.0,,41.9,33.61,8.29
2021-04-20,Curacao,North America,CUW,71973.0,57681.0,14292.0,3213.0,43.86,35.15,8.71
2021-04-21,Curacao,North America,CUW,74839.0,59842.0,14997.0,2866.0,45.61,36.47,9.14
2021-04-22,Curacao,North America,CUW,77687.0,62322.0,15365.0,2848.0,47.34,37.98,9.36
2021-04-23,Curacao,North America,CUW,80356.0,64686.0,15670.0,2669.0,48.97,39.42,9.55
2021-04-24,Curacao,North America,CUW,84016.0,67614.0,16402.0,3660.0,51.2,41.2,10.0
2021-04-25,Curacao,North America,CUW,84716.0,68206.0,16510.0,700.0,51.62,41.56,10.06
2021-04-26,Curacao,North America,CUW,86781.0,68723.0,18058.0,2065.0,52.88,41.88,11.0
2021-04-27,Curacao,North America,CUW,89193.0,69788.0,19405.0,2412.0,54.35,42.53,11.83
2021-04-28,Curacao,North America,CUW,89746.0,69977.0,19769.0,553.0,54.69,42.64,12.05
2021-04-29,Curacao,North America,CUW,93919.0,71645.0,22274.0,4173.0,57.23,43.66,13.57
2021-04-30,Curacao,North America,CUW,95693.0,72248.0,23445.0,1774.0,58.31,44.03,14.29
2021-05-01,Curacao,North America,CUW,97496.0,72855.0,24641.0,1803.0,59.41,44.4,15.02
2021-05-02,Curacao,North America,CUW,97504.0,72861.0,24643.0,8.0,59.42,44.4,15.02
2021-05-03,Curacao,North America,CUW,100527.0,73347.0,27180.0,3023.0,61.26,44.7,16.56
